player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Heapin' Honkers,7936.7156003880145,"['WeLostThisBros', ""Helmet's On"", 'Aogiri Tree', 'Helmets On']",41,True,8000.0
Yrral,7935.821531970766,"['Northern Hog Suckers', 'Want Steep Sets?', 'dXo-Heroic - Mantle of Midas']",77,True,8000.0
Koamaru,7935.48513505268,"['dXo-Heroic - Mantle of Midas', 'Nat 20']",30,True,8000.0
mafjetz,7931.677816490568,['GRIN Scythe'],22,True,8000.0
Scarebee,7929.179604467032,['Dark Horse'],35,True,8000.0
Tokamak,7922.310178113836,"['Balerion All-Blacks', 'Drip or Drown']",38,True,8000.0
de la Heeba,7921.538359736342,['Jukes Angels'],25,True,8000.0
ferociousspud,7920.9727736084615,['Dark Horse'],80,True,8000.0
Sempiternal,7918.2734567127345,"['tainted gluggers', 'mosin on valley']",27,True,8000.0
Chanel N°5,7916.666782821636,"['Spice Boys', 'tainted gluggers', 'mosin on valley']",50,True,8000.0
sTough,7916.184049314386,['Dark Horse'],78,True,8000.0
t.tv/shattovv,7913.367856915288,['beignet boys'],22,True,8000.0
Calipsis,7910.987301750292,"['Average Krill Eaters', 'Giga Obese Ovarian Navigators', 'Sunlight Covenant', 'Team Tidehunter']",52,True,8000.0
Lord Luci,7909.6403846759,"['Heroes of Golf?', 'Rektal Damage', '#Packwatch', 'Sounding Club']",52,True,8000.0
Roo,7907.391439615759,"['Want Steep Sets?', 'Dark Horse']",93,True,8000.0
TheSmallNut,7904.891010811574,"['Sounding Club', 'Ensō', 'Sunlight Covenant']",32,True,8000.0
Andizzle,7902.450135412408,"['Nigma Rebellion', 'Season 42 Champs', 'Team Mochi', 'Soy Sauce: Revolution', 'WeLostThisBros', 'Season 40 Champs']",106,True,8000.0
˚+˚+˚+˚+˚+˚,7900.448593747686,['Dually Truck Hentai Warriors'],21,True,8000.0
Antivirus,7898.288792867106,"['Does This Game have Fall Damage?', 'Emotional Damage']",30,True,8000.0
Merk 13,7896.974863725461,"['Does This Game have Fall Damage?', 'dXo-Heroic - Mantle of Midas', 'Nat 20']",44,True,8000.0
Naya Of Alara,7896.643227842885,"['Balerion All-Blacks', 'Dark Horse', 'Emotional Damage', 'PSGS']",94,True,8000.0
ScurvyDog,7894.498279039242,"['New Rebellion', 'Cinco De Mayo', 'Waist of Time', 'Daggers in my coco', 'WAKANDA MADE IN CHYNA']",46,True,8000.0
KILLAYOUA,7891.928194436812,"['Gucci Coffin', 'Jukes Angels']",27,True,8000.0
ol' stinky,7891.166658564922,"[""Daddy's ENGORGED Dictatorship"", 'sheeesh']",21,True,8000.0
Bagged Milk,7890.463243930316,"['Baja Blasters', 'beignet boys']",27,True,8000.0
Tree,7889.2050697034965,"['Want Steep Sets?', 'Ensō', 'Bubble Team']",69,True,8000.0
BokChoyBitch,7888.774046630731,"['Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,8000.0
HULK,7888.667709363938,"['We Scale Late ', 'Wasted with Clare in the Finals', 'Wasted.Creature']",52,True,8000.0
Sixty Two Cents,7887.15675784731,"['Northern Hog Suckers', 'Soy Sauce: Revolution']",54,True,8000.0
Resisting the Desire to end it,7886.176335245767,"['The Whimsical Afrasians', 'Sounding Club', 'Gucci God', 'Aogiri Tree', 'Drip or Drown']",82,True,8000.0
KingBob,7883.4267570473885,"['Dark Horse Storm', 'Dark Horse Vitality', 'Dark Horse']",101,True,8000.0
LoneWolf,7882.205163301147,"['WAP', 'Baja Blasters']",23,True,8000.0
Spiroar,7879.912953024838,"['Ensō', 'Dota Under the Influence', 'Team Krill Eater']",28,True,8000.0
ok,7878.267741332554,"['The Whimsical Afrasians', 'GOOD TWINK HUNTING', 'Twinks and The Twinker', ""WoT's Sounding Club"", 'Waist of Time', 'Daggers in my coco']",52,True,8000.0
FrodoLaporte,7878.034436772668,"['Northern Hog Suckers', 'Ape Express', 'Want Steep Sets?', 'Dark Horse']",78,True,8000.0
Jax,7876.410444596577,"['Scion and the 4 plebs', 'good for ducks, good for me']",37,True,8000.0
HeroesOfNewerth,7875.2226848470455,"['WeLostThisBros', 'Gucci God', 'Northern Hog Suckers', '#1 Yami Glazers']",89,True,8000.0
Brok3n-,7872.269770690764,"['Scion and the 4 plebs', 'Aogiri Tree', 'Go play offlane']",42,True,8000.0
Fathomorg,7869.5498611694775,"['Does This Game have Fall Damage?', 'WeLostThisBros', 'Love & Peace (Right Version)', 'Emotional Damage']",62,True,8000.0
jelly,7869.4135974079345,"['Twinks and The Twinker', 'Los Animales de Golf?', 'Coked up (cute) Kobolds', 'GOOD TWINK HUNTING']",59,True,8000.0
BORK,7866.522063763569,"['Flex Offenders', 'Glizzy Gobblers']",37,True,8000.0
Tokc,7861.621740364558,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",76,True,8000.0
Excaliburracuda,7859.758956415539,"[""Brit I'm a Dog, Woof! Brrr"", 'PSGS', 'Pot Of Greed']",34,True,8000.0
smack,7857.073367394918,"['Wasted Sad & Suicidal', 'TEAM POLAND', 'Wasted with Clare in the Finals', 'Team Tidehunter', 'Garrett and Friends']",71,True,8000.0
ⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧ,7856.195432382917,"['Flex Offenders', 'Glizzy Gobblers']",39,True,8000.0
poogie,7856.195432382917,"['Flex Offenders', 'Glizzy Gobblers']",39,True,8000.0
lysergic acid diethylamide,7854.812756092837,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Dually Truck RoadRunners']",29,True,8000.0
Morning,7854.167931816833,"['animal enclosure', 'Dota Under the Influence', 'GRIN Fury']",21,True,8000.0
Dr. UndoneJin,7853.479429048527,"['Team awesome', 'Sounding Club', 'Nocturnal Rainbow', 'Salt the Earth']",52,True,8000.0
Luigi Mangione,7844.877765512222,"['Heroes of Golf?', 'Ape Express', 'mosin on valley']",33,True,8000.0
bulbi,7841.069210839277,"['I am > I was', 'Pot Of Greed', 'WAP', 'Digital Habitat', 'Aogiri Tree', '10toes']",35,True,8000.0
Blocka™,7838.786296206572,"['DinoMight', 'Jason Vas Foundation Picks for the Cure']",32,True,8000.0
