player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Dops32,8265.887394221365,"['WAKANDA MADE IN CHYNA', 'KnockKnock']",26,True,8000.0
lemonade,8101.958148226113,"['Spice Boys', '#Packwatch']",25,True,8000.0
mirth,8048.238598847657,['Toxic Tacos'],20,True,8000.0
bored of hermes,8040.6691916966865,['Toxic Tacos'],44,True,8000.0
tint,8040.073410690346,['Toxic Tacos'],42,True,8000.0
MxGuire,8024.206449373612,['Toxic Tacos'],42,True,8000.0
imma do her proud,8024.168431374368,"['Waist Of Time', 'The Whimsical Afrasians', ""Brit I'm a Dog, Woof! Brrr"", 'Sounding Club', 'Season 42 Champs', 'Does This Game have Fall Damage?', 'Golf Tuesday?']",71,True,8000.0
kalnoky,8015.18377581023,['Season 40 Champs'],23,True,8000.0
Hex,8013.997162564237,"['Nigma Rebellion', 'KnockKnock', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",113,True,8000.0
stanny,8013.875053182999,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'WAKANDA MADE IN CHYNA', 'Rektal Damage', 'Season 40 Champs']",117,True,8000.0
Artorius,8010.330340916409,['Toxic Tacos'],40,True,8000.0
Tree,8001.763339090055,"['Want Steep Sets?', 'Ensō', 'Bubble Team']",69,True,8000.0
Mode Dosiia,7985.296269561169,"['Fruits', 'The Whimsical Afrasians', 'Waist Of Time', 'Sounding Club']",31,True,8000.0
Ｋ－ＳＴＩＧＳ,7982.96605298256,"['Season 40 Champs', 'Balerion All-Blacks']",27,True,8000.0
Jgillett10,7978.175735181353,"['Nigma Rebellion', 'Balerion All-Blacks', 'Giga Obese Ovarian Navigators', 'Season 42 Champs', 'WAKANDA MADE IN CHYNA', 'dXo-Heroic - Mantle of Midas']",81,True,8000.0
BRAE,7948.920459919583,['#Packwatch'],21,True,8000.0
nkf,7923.704366877443,['#Packwatch'],23,True,8000.0
Andizzle,7923.443167080878,"['Nigma Rebellion', 'Season 42 Champs', 'Team Mochi', 'Soy Sauce: Revolution', 'WeLostThisBros', 'Season 40 Champs']",106,True,8000.0
Legao,7915.459975133397,"['Spice Boys', '#Packwatch']",23,True,8000.0
TURTLEKING!,7912.511724015854,['Toxic Tacos'],22,True,8000.0
Bungus,7898.740247052451,"['WAKANDA MADE IN CHYNA', 'Waist Of Time', '1-800-QQ', 'Cinco De Mayo']",36,True,8000.0
K7,7888.242709284137,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",91,True,8000.0
Billy Smoocher,7876.554826298888,"['Waist Of Time', 'Cinco De Mayo']",20,True,8000.0
Jidnahn ❤️ 響け!,7873.565048415142,['#1 Yami Glazers'],20,True,8000.0
Yami116,7870.246184403912,['#1 Yami Glazers'],22,True,8000.0
nojiit,7860.288456070905,"[""WoT's Sounding Club"", 'Scion and the 4 plebs', '1-800-QQ']",20,True,8000.0
