player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Angrysun,7465.897399897292,"['Dark Horse Storm', 'Dark Horse Tempest ', 'Golf Monday?', 'Dark Horse Vitality']",101,True,8000.0
ol' stinky,7465.639287311768,"[""Daddy's ENGORGED Dictatorship"", 'sheeesh']",21,True,8000.0
Icarus,7464.159367932007,"['Does This Game have Fall Damage?', 'Plinks of Golf?']",66,True,6600.0
waffz,7461.765399526722,"['Flex Offenders', 'Glizzy Gobblers']",37,True,7400.0
Brok3n-,7459.471394485121,"['Scion and the 4 plebs', 'Aogiri Tree', 'Go play offlane']",42,True,8000.0
@CrasheroniDota,7455.407282136493,"['Dark Horse Tempest ', 'Max Retaliate']",39,True,7400.0
TornadO,7455.380937168715,['Team Mochi'],65,False,6054.545454545455
han,7450.71910378038,['Team Mochi'],101,True,8000.0
kden,7449.7056318289515,"['Baja Blasters', 'beignet boys', 'Soy Sauce: Revolution']",51,True,7400.0
hungryphenix,7448.996630022788,['Team Mochi'],99,True,7300.0
FLYDOM,7445.437181000229,['Team Mochi'],99,True,6600.0
JuicyPanda,7440.837054824405,"['Heroes of Golf?', 'Waist of Time', 'Daggers in my coco', 'Highly Regarded Individuals', 'Plinks of Golf?']",71,True,8000.0
captainlittledinky,7440.0210080455345,"['Nocturnal Rainbow', 'Salt the Earth']",32,True,7400.0
Egotistical Confidence,7437.739461442589,"['Simple Chemistry', 'dXo-Rejects', 'The Rejects', 'Scion and the 4 plebs', 'SpookyScarySkeletons', 'good for ducks, good for me']",101,True,8000.0
lysergic acid diethylamide,7434.31197610863,"['Island in the Winter Sun', 'Conquerors of the Island in the Sun', 'Dually Truck RoadRunners']",29,True,8000.0
Spiroar,7423.838044627027,"['Ensō', 'Dota Under the Influence', 'Team Krill Eater']",28,True,8000.0
Edge Tember,7409.0905360217475,"['Heroes of Golf?', 'Comrades of Golf?', 'Golf Monday?', 'Highly Regarded Individuals']",97,True,8000.0
Rusty Shackleford,7406.6297531183245,"['Heroes of Golf?', 'Golf Monday?', 'Highly Regarded Individuals', 'Plinks of Golf?']",98,True,7500.0
KayceeMJ,7393.609646940199,"['Dark Horse Tempest ', 'GRIN Scythe', 'GRIN Prism', 'Nameless']",77,True,7200.0
Blocka™,7388.7995873741675,"['DinoMight', 'Jason Vas Foundation Picks for the Cure']",32,True,8000.0
Fav,7385.173016036418,"['Ensō', 'dXo-Champion', 'Digital Habitat']",74,True,8000.0
Erock,7373.206805757384,"['Heroes of Golf?', 'Ensō', 'Does This Game have Fall Damage?', 'Highly Regarded Individuals', 'Plinks of Golf?']",58,True,8000.0
Bernie Sanders,7363.310294481115,"['Golf Monday?', 'Comrades of Golf?', 'Los Animales de Golf?', 'Highly Regarded Individuals', 'Batchesters of Golf?']",89,True,7200.0
Excaliburracuda,7362.356903827499,"[""Brit I'm a Dog, Woof! Brrr"", 'PSGS', 'Pot Of Greed']",34,True,8000.0
please immortal,7361.820407459014,"['The Whimsical Afrasians', 'Sounding Club', 'I am > I was', 'Team Samsara', 'Does This Game have Fall Damage?']",37,False,7078.571428571428
PizzaJr,7361.362314589357,"['Grillin and Chillin', 'Ensō', 'Soy Sauce: Revolution', 'Foebe Phighters']",53,True,8000.0
bulbi,7338.961299518375,"['I am > I was', 'Pot Of Greed', 'WAP', 'Digital Habitat', 'Aogiri Tree', '10toes']",35,True,8000.0
