player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Dops32,8372.588256520876,"['WAKANDA MADE IN CHYNA', 'KnockKnock']",26,True,8000.0
lemonade,8218.61332879286,"['Spice Boys', '#Packwatch']",25,True,8000.0
imma do her proud,8183.599570019757,"['Waist Of Time', 'The Whimsical Afrasians', ""Brit I'm a Dog, Woof! Brrr"", 'Sounding Club', 'Season 42 Champs', 'Does This Game have Fall Damage?', 'Golf Tuesday?']",71,True,8000.0
Hex,8182.68501945304,"['Nigma Rebellion', 'KnockKnock', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",113,True,8000.0
stanny,8182.684938997797,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'WAKANDA MADE IN CHYNA', 'Rektal Damage', 'Season 40 Champs']",117,True,8000.0
Jgillett10,8175.660026961486,"['Nigma Rebellion', 'Balerion All-Blacks', 'Giga Obese Ovarian Navigators', 'Season 42 Champs', 'WAKANDA MADE IN CHYNA', 'dXo-Heroic - Mantle of Midas']",81,True,8000.0
Tree,8140.0988751349905,"['Want Steep Sets?', 'Ensō', 'Bubble Team']",69,True,8000.0
kalnoky,8116.097088328565,['Season 40 Champs'],23,True,8000.0
Ｋ－ＳＴＩＧＳ,8107.443545206484,"['Season 40 Champs', 'Balerion All-Blacks']",27,True,8000.0
Mode Dosiia,8107.376116693945,"['Fruits', 'The Whimsical Afrasians', 'Waist Of Time', 'Sounding Club']",31,True,8000.0
Andizzle,8081.947690011861,"['Nigma Rebellion', 'Season 42 Champs', 'Team Mochi', 'Soy Sauce: Revolution', 'WeLostThisBros', 'Season 40 Champs']",106,True,8000.0
mirth,8071.015251090429,['Toxic Tacos'],20,True,8000.0
bored of hermes,8069.091296440652,['Toxic Tacos'],44,True,8000.0
tint,8069.081056153688,['Toxic Tacos'],42,True,8000.0
MxGuire,8058.850114140687,['Toxic Tacos'],42,True,8000.0
Artorius,8058.64900429858,['Toxic Tacos'],40,True,8000.0
K7,7954.550326865017,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",91,True,8000.0
BRAE,7918.021207758077,['#Packwatch'],21,True,8000.0
nkf,7902.263476684608,['#Packwatch'],23,True,8000.0
Legao,7899.832905542517,"['Spice Boys', '#Packwatch']",23,True,8000.0
Bungus,7897.8518866784825,"['WAKANDA MADE IN CHYNA', 'Waist Of Time', '1-800-QQ', 'Cinco De Mayo']",36,True,8000.0
Drewarosa,7894.737694436561,['Dark Horse Tempest '],24,True,8000.0
Billy Smoocher,7880.946286075662,"['Waist Of Time', 'Cinco De Mayo']",20,True,8000.0
Yami116,7877.549572006519,['#1 Yami Glazers'],22,True,8000.0
Jidnahn ❤️ 響け!,7875.532294602638,['#1 Yami Glazers'],20,True,8000.0
nojiit,7874.495166920233,"[""WoT's Sounding Club"", 'Scion and the 4 plebs', '1-800-QQ']",20,True,8000.0
TURTLEKING!,7846.002756855711,['Toxic Tacos'],22,True,8000.0
