pid,player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr,rank_confidence
57569220,Babaganoush,7838.49,['WeLostThisBros'],30,True,8000.0,0.3
215377894,Celtic,7836.07,['Salt the Earth'],20,True,8000.0,0.2
149988876,Kr@Ken_430,7831.49,['THE Sleppers4'],27,True,8000.0,0.27
84362769,wife,7827.88,"['Spice Boys', 'New Rebellion', 'Giga Obese Ovarian Navigators', 'TEAM POLAND', 'dXo-Heroic - Mantle of Midas']",33,True,8000.0,0.33
119377295,soy jamon 4,7825.97,"['TEAM POLAND', 'Team Tidehunter']",38,True,8000.0,0.38
162568432,44 .•*¨*•.¸¸♪,7824.92,"['WeLostThisBros', 'Aogiri Tree']",57,True,8000.0,0.57
202993487,hk,7821.34,"['Spice Boys', 'New Rebellion', 'Max Retaliate']",57,True,8000.0,0.57
165060631,S-10,7818.83,"['Gucci God', '#1 Yami Glazers']",43,True,8000.0,0.43
138786119,Roo,7806.87,"['Want Steep Sets?', 'Dark Horse']",93,True,8000.0,0.93
214500783,Scarebee,7806.48,['Dark Horse'],35,True,8000.0,0.35
138789850,ferociousspud,7806.1,['Dark Horse'],80,True,8000.0,0.8
161284777,KingBob,7804.3,"['Dark Horse Storm', 'Dark Horse Vitality', 'Dark Horse']",101,True,8000.0,1.0
145654589,Koamaru,7801.09,"['dXo-Heroic - Mantle of Midas', 'Nat 20']",30,True,8000.0,0.3
383634453,sTough,7799.22,['Dark Horse'],78,True,8000.0,0.78
127222192,Heapin' Honkers,7796.34,"['WeLostThisBros', ""Helmet's On"", 'Aogiri Tree', 'Helmets On']",41,True,8000.0,0.41
152860627,Pumpkin(All chat muted),7793.28,"['WeLostThisBros', 'The Whimsical Afrasians']",20,True,8000.0,0.2
14875011,raze,7793.27,['Aogiri Tree'],37,True,8000.0,0.37
101830977,Naya Of Alara,7787.75,"['Balerion All-Blacks', 'Dark Horse', 'Emotional Damage', 'PSGS']",94,True,8000.0,0.94
206706852,Resisting the Desire to end it,7773.22,"['The Whimsical Afrasians', 'Sounding Club', 'Gucci God', 'Aogiri Tree', 'Drip or Drown']",82,True,8000.0,0.82
186325693,ooo,7769.76,"['DinoMight', 'Gucci God', 'Drip or Drown', '#1 Yami Glazers']",80,True,7300.0,0.8
83934359,Sempiternal,7765.67,"['tainted gluggers', 'mosin on valley']",27,True,8000.0,0.27
83515709,HeroesOfNewerth,7763.88,"['WeLostThisBros', 'Gucci God', 'Northern Hog Suckers', '#1 Yami Glazers']",89,True,8000.0,0.89
449593708,Chanel N°5,7760.77,"['Spice Boys', 'tainted gluggers', 'mosin on valley']",50,True,8000.0,0.5
91985975,Calipsis,7752.99,"['Average Krill Eaters', 'Giga Obese Ovarian Navigators', 'Sunlight Covenant', 'Team Tidehunter']",52,True,8000.0,0.52
907912046,LoneWolf,7745.58,"['WAP', 'Baja Blasters']",23,True,8000.0,0.23
33153117,Tokamak,7727.63,"['Balerion All-Blacks', 'Drip or Drown']",38,True,8000.0,0.38
114916719,criminal animal,7722.0,['Crime Time'],27,True,8000.0,0.27
90143300,TheSmallNut,7714.08,"['Sounding Club', 'Ensō', 'Sunlight Covenant']",32,True,8000.0,0.32
95846228,Merk 13,7697.89,"['Does This Game have Fall Damage?', 'dXo-Heroic - Mantle of Midas', 'Nat 20']",44,True,8000.0,0.44
205436003,mode: that brother needs help,7690.51,"['TEAM POLAND', 'Garrett and Friends', 'Wasted Sad & Suicidal', 'Wasted.Creature']",60,True,7400.0,0.6
193088530,BokChoyBitch,7682.92,"['Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,8000.0,0.23
108449604,ok,7676.17,"['The Whimsical Afrasians', 'GOOD TWINK HUNTING', 'Twinks and The Twinker', ""WoT's Sounding Club"", 'Waist of Time', 'Daggers in my coco']",52,True,8000.0,0.52
304924522,Sixty Two Cents,7675.48,"['Northern Hog Suckers', 'Soy Sauce: Revolution']",54,True,8000.0,0.54
116546314,t.tv/shattovv,7671.3,['beignet boys'],22,True,8000.0,0.22
186775996,Lord Luci,7659.05,"['Heroes of Golf?', 'Rektal Damage', '#Packwatch', 'Sounding Club']",52,True,8000.0,0.52
156115328,green dragon bot,7657.86,"['Heroes of Golf?', 'Waist Of Time', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Ensō', 'Helmets On', 'Gucci God', 'Waist of Time', 'Golf Tuesday?', 'Daggers in my coco', 'Go play offlane', '7dark Thirty']",123,True,8000.0,1.0
96895570,Tokc,7657.06,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",76,True,8000.0,0.76
99260250,HULK,7650.52,"['We Scale Late ', 'Wasted with Clare in the Finals', 'Wasted.Creature']",52,True,8000.0,0.52
58035115,mafjetz,7649.28,['GRIN Scythe'],22,True,8000.0,0.22
119373284,ScurvyDog,7646.6,"['New Rebellion', 'Cinco De Mayo', 'Waist of Time', 'Daggers in my coco', 'WAKANDA MADE IN CHYNA']",46,True,8000.0,0.46
101387028,Panda,7646.57,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Sounding Club', ""WoT's Sounding Club"", 'Golf Tuesday?', 'Daggers in my coco', 'Team Tidehunter', 'Go play offlane']",88,True,8000.0,0.88
165746893,jelly,7641.77,"['Twinks and The Twinker', 'Los Animales de Golf?', 'Coked up (cute) Kobolds', 'GOOD TWINK HUNTING']",59,True,8000.0,0.59
157808123,smack,7640.69,"['Wasted Sad & Suicidal', 'TEAM POLAND', 'Wasted with Clare in the Finals', 'Team Tidehunter', 'Garrett and Friends']",71,True,8000.0,0.71
102264839,Clare: Reloaded,7629.9,"['Wasted Sad & Suicidal', 'Wasted.Creature']",64,True,7400.0,0.64
